"eigenDomAH","rVal","tDouble","Rzero","genTime","harvConst","tc"
1.90875894745092,0.646453265136797,1.07223092208107,13.4216735021994,4.01710528188088,0,0
1.90875894745092,0.646453265136797,1.07223092208107,13.4216735021994,4.01710528188088,0,76
1.90875894745092,0.646453265136797,1.07223092208107,13.4216735021994,4.01710528188088,0,95.5
1.90875894745092,0.646453265136797,1.07223092208107,13.4216735021994,4.01710528188088,0,152
1.71788305270583,0.541092749478969,1.28101361777143,8.78544762295217,4.01612602558426,0.1,0
1.81052742260048,0.593618196532757,1.16766498164733,10.8462316332743,4.01574230486302,0.1,76
1.85871230714544,0.619883939982949,1.11818864121405,12.0513684814159,4.01555526745761,0.1,95.5
1.90875887154924,0.646453225371854,1.07223098803665,13.4216583973926,4.01710378809175,0.1,152
1.52700715796074,0.423309713822586,1.63744690453867,5.47196356262012,4.01511580273471,0.2,0
1.70670232829198,0.534563045648583,1.29666123800038,8.54994306659393,4.01435273447486,0.2,76
1.80435395643098,0.590202608841795,1.17442242744431,10.6874288332424,4.01399136478205,0.2,95.5
1.9087587958692,0.646453185723032,1.07223105379965,13.4216433769083,4.01710230329743,0.2,152
1.33613126321565,0.289778321198064,2.39199115273422,3.20012540887737,4.01406839028824,0.3,0
1.59619580802745,0.467623178236209,1.48227721126736,6.5308681813824,4.01293172478614,0.3,76
1.74468982506679,0.556576789176811,1.24537564993525,9.32981168768914,4.01241099980312,0.3,95.5
1.90875872041007,0.646453146189946,1.07223111937068,13.4216284402276,4.01710082744054,0.3,152
1.14525536847055,0.135627641370805,5.11066308869066,1.72335050469958,4.0129752190917,0.4,0
1.47751374430925,0.390360772663815,1.77565787625104,4.7870847352766,4.0114727734835,0.4,76
1.67831008743758,0.517787386823125,1.33867142807927,7.97847455879434,4.01081078448958,0.4,95.5
1.90875864517112,0.646453106772208,1.07223118475041,13.4216135868319,4.01709936046374,0.4,152
0.954379473725462,-0.0466939154231486,-14.8444861451117,0.829171917422294,4.01182390404298,0.5,0
1.3485050944285,0.29899664143886,2.31824403519825,3.31668766968918,4.0099667651187,0.5,76
1.60310859212673,0.471944614393925,1.46870450349368,6.63337533937835,4.00918607375519,0.5,95.5
1.90875857015162,0.646453067469435,1.07223124993945,13.4215988162024,4.01709790230967,0.5,152
0.763503578980368,-0.269837466737359,-2.56875810813405,0.338846226935022,4.01059532413819,0.6,0
1.20586845734091,0.187200018841044,3.70270892519789,2.11778891834389,4.0084001380968,0.6,76
1.51570839092264,0.415882914445062,1.66668828289052,5.29447229585972,4.00753013735188,0.6,95.5
1.90875849535082,0.646453028281243,1.07223131493846,13.4215841278202,4.01709645292093,0.6,152
0.572627684235276,-0.557519539189141,-1.24326975439831,0.106966549704607,4.0092569961404,0.7,0
1.04404634092787,0.0431038763372798,16.0808548896205,1.18851721894007,4.0067509084668,0.7,76
1.41011141662529,0.343668720151435,2.01690505977534,3.96172406313358,4.00583241731208,0.7,95.5
1.90875842076801,0.646452989207251,1.07223137974806,13.4215695211666,4.01709501224017,0.7,152
0.381751789490184,-0.962984647297305,-0.71979047901264,0.0210807171160986,4.00774461766245,0.8,0
0.852202474567479,-0.159931134180247,-4.33403529658427,0.527017927902465,4.00497823961694,0.8,76
1.27377232499548,0.241982832384897,2.86444775329114,2.63508963951233,4.00407413474605,0.8,95.5
1.90875834640243,0.646452950247068,1.07223144436889,13.4215549957229,4.01709358021002,0.8,152
0.190875894745092,-1.65613182785725,-0.418533820134813,0.00131452838172851,4.00588721933925,0.9,0
0.602360813899632,-0.506898654579704,-1.36742754058929,0.131452838172851,4.00298386755171,0.9,76
1.07072039145969,0.0683316849803649,10.1438619691454,1.31452838172851,4.00221297493849,0.9,95.5
1.90875827225337,0.646452911400314,1.0722315088016,13.4215405509703,4.01709215677312,0.9,152
1.6276059938441,0.48711021976586,1.42297811138744,7.08267752788253,4.01890976349906,0,0
1.6276059938441,0.48711021976586,1.42297811138744,7.08267752788253,4.01890976349906,0,76
