"simID","Fec 11-60","Fec 61-80","Fec 81-100","Fec 101-120","Fec 121-140","Fec 141-160","Fec 161-180","Fec 181-211","Fec 212+","Surv 11-60","Surv 61-80","Surv 81-100","Surv 101-120","Surv 121-140","Surv 141-160","Surv 161-180","Surv 181-211","Surv 212+"
1,0,0,30727.5,61827.5,92927.5,124027.5,155127.5,194780,249205,0.266,0.0253833333333333,0.0253833333333333,0.0253833333333333,0.0253833333333333,0.0253833333333333,0.0253833333333333,0.0253833333333333,0.0253833333333333
2,0,0,46091.25,92741.25,139391.25,186041.25,232691.25,292170,373807.5,0.266,0.0208416666666667,0.0208416666666667,0.02085,0.0208416666666667,0.0208416666666667,0.0208416666666667,0.0208416666666667,0.0208416666666667
3,0,0,30727.5,61827.5,92927.5,124027.5,155127.5,194780,249205,0.266,0.0279555555555556,0.0279555555555556,0.0279555555555556,0.0279555555555556,0.0279555555555556,0.0279555555555556,0.0279555555555556,0.0279555555555556
4,0,0,15363.75,30913.75,46463.75,62013.75,77563.75,97390,124602.5,0.266,0.02876,0.02875,0.02876,0.02876,0.02876,0.02876,0.02876,0.02876
5,0,0,46091.25,92741.25,139391.25,186041.25,232691.25,292170,373807.5,0.266,0.0250222222222222,0.0250222222222222,0.0250222222222222,0.0250222222222222,0.0250222222222222,0.0250222222222222,0.0250222222222222,0.0250222222222222
6,0,0,15363.75,30913.75,46463.75,62013.75,77563.75,97390,124602.5,0.266,0.0257916666666667,0.0257916666666667,0.0257916666666667,0.0257916666666667,0.0257916666666667,0.0257916666666667,0.0257916666666667,0.0257916666666667
7,0,0,15363.75,30913.75,46463.75,62013.75,77563.75,97390,124602.5,0.266,0.02284,0.02284,0.02284,0.02284,0.02284,0.02284,0.02284,0.02284
8,0,0,46091.25,92741.25,139391.25,186041.25,232691.25,292170,373807.5,0.266,0.0268071428571429,0.0268,0.0268071428571429,0.0268071428571429,0.0268071428571429,0.0268071428571429,0.0268071428571429,0.0268071428571429
9,0,0,46091.25,92741.25,139391.25,186041.25,232691.25,292170,373807.5,0.266,0.0178375,0.0178375,0.0178375,0.0178375,0.0178375,0.0178375,0.0178375,0.0178375
10,0,0,15363.75,30913.75,46463.75,62013.75,77563.75,97390,124602.5,0.266,0.0248571428571429,0.0248571428571429,0.0248714285714286,0.0248571428571429,0.0248571428571429,0.0248571428571429,0.0248571428571429,0.0248571428571429
