"eigenDomAH","rVal","tDouble","Rzero","genTime","harvConst","tc"
1.88670291069685,0.634830813979164,1.09186127279369,12.8069161993466,4.01679517900429,0,0
1.88670291069685,0.634830813979164,1.09186127279369,12.8069161993466,4.01679517900429,0,76
1.88670291069685,0.634830813979164,1.09186127279369,12.8069161993466,4.01679517900429,0,95.5
1.88670291069685,0.634830813979164,1.09186127279369,12.8069161993466,4.01679517900429,0,152
1.69803261962716,0.529470298321339,1.30913326537397,8.38350184373832,4.01583566644169,0.1,0
1.78960967589095,0.581997537913043,1.19097957535262,10.3500022762202,4.01545812034892,0.1,76
1.83723944331956,0.608264142496368,1.13954963334713,11.5000025291335,4.01527409666174,0.1,95.5
1.88670283823415,0.634830775572109,1.09186133885094,12.8069027621227,4.0167937692688,0.1,152
1.50936232855748,0.411687262664953,1.68367409784075,5.2218974366359,4.01484568348261,0.2,0
1.68698730982703,0.522944281204197,1.32547042863499,8.1592147447436,4.01409482335253,0.2,76
1.7835139326668,0.578585537766558,1.19800294911555,10.1990184309295,4.0137392516969,0.2,95.5
1.88670276598106,0.634830737276154,1.09186140471712,12.8068893983439,4.01679236786205,0.2,152
1.3206920374878,0.278155870040434,2.49193799310863,3.05404624016403,4.01381911290308,0.3,0
1.57776048874209,0.456006429371436,1.52003817471474,6.23274742890618,4.01270051813565,0.3,76
1.72454376078582,0.544962528999625,1.27191713865601,8.9039248984374,4.01218811018873,0.3,95.5
1.88670269393691,0.634830699090939,1.09186147039284,12.8068761075681,4.01679097473197,0.3,152
1.13202174641811,0.124005190213171,5.58966265338081,1.64477158558263,4.01274753074203,0.4,0
1.46045230827695,0.378746187931767,1.83010998564775,4.56880995995174,4.0112688041966,0.4,76
1.65893534415289,0.506176037665778,1.36937968015314,7.61468326658624,4.01061733678019,0.4,95.5
1.886702622101,0.634830661016094,1.09186153587874,12.8068628893531,4.01678958982652,0.4,152
0.943351455348423,-0.0583163665807817,-11.8859802350645,0.791406900870663,4.0116187608894,0.5,0
1.33293650709847,0.287384408478111,2.41191644400827,3.16562760348265,4.0097907084799,0.5,76
1.58460679563273,0.460336298087536,1.50574087561555,6.3312552069653,4.0090223584466,0.5,95.5
1.88670255047265,0.63483062305126,1.09186160117543,12.8068497432565,4.01678821309361,0.5,152
0.754681164278739,-0.281459917894991,-2.4626852226204,0.323430574291927,4.010414003446,0.6,0
1.19194971848947,0.175590385278175,3.94752354727078,2.02144108932455,4.00825288069433,0.6,76
1.49822007183655,0.404277784743029,1.7145319548056,5.05360272331137,4.00739654917574,0.6,95.5
1.88670247905116,0.634830585196067,1.09186166628356,12.8068366688363,4.01678684448124,0.6,152
0.566010873209054,-0.569141990346773,-1.21788093712365,0.102105579970319,4.00910131741233,0.7,0
1.03199847648194,0.0314971907810893,22.0066349846065,1.13450644411466,4.00663367838248,0.7,76
1.39384620770049,0.332066981790515,2.08737158034344,3.78168814704886,4.00572951430331,0.7,95.5
1.88670240783587,0.634830547450163,1.09186173120373,12.80682366565,4.01678548393726,0.7,152
0.377340582139369,-0.974607098454937,-0.711206784414771,0.0201237930630655,4.00761746522215,0.8,0
0.842371352098602,-0.171534326220931,-4.04086573125423,0.503094826576639,4.00489289674001,0.8,76
1.25908439089149,0.230384782912292,3.00865001497876,2.51547413288319,4.0040027650437,0.8,95.5
1.88670233682608,0.634830509813174,1.09186179593658,12.8068107332556,4.01678413140965,0.8,152
0.188670291069685,-1.66775427901488,-0.415617090168329,0.00125492365444708,4.00579427402511,0.9,0
0.595414606021039,-0.518497299258559,-1.33683855547779,0.125492365444708,4.00293378256462,0.9,76
1.05837830779016,0.0567378383233879,12.2166652985477,1.25492365444708,4.00217463924498,0.9,95.5
1.88670226602109,0.634830472284738,1.09186186048273,12.8067978712108,4.01678278684637,0.9,152
1.87603262358934,0.629159240405822,1.10170388678206,12.4930476137021,4.01356625874889,0,0
1.87603262358934,0.629159240405822,1.10170388678206,12.4930476137021,4.01356625874889,0,76
1.87603262358934,0.629159240405822,1.10170388678206,12.4930476137021,4.01356625874889,0,95.5
1.87603262358934,0.629159240405822,1.10170388678206,12.4930476137021,4.01356625874889,0,152
1.6884293612304,0.523798724747997,1.32330826290847,8.18167288317101,4.01279449403375,0.1,0
1.7795398121349,0.576354798370221,1.20263973253972,10.1008307199642,4.01248966176006,0.1,76
1.82692688114373,0.602635255327197,1.15019354482274,11.2231452444047,4.01234107073825,0.1,95.5
1.87603258499176,0.629159219831779,1.10170392280872,12.4930407330199,4.01356551460376,0.1,152
1.50082609887147,0.406015689091613,1.7071930942145,5.09843709184227,4.01199777237326,0.2,0
1.67754600166165,0.517332012236821,1.33984977570389,7.96630795600355,4.01139131877767,0.2,76
1.77358072325145,0.573000510548364,1.20967986554951,9.95788494500444,4.01110409470182,0.2,95.5
1.87603254648489,0.629159199306085,1.10170395875072,12.4930338827147,4.01356477401437,0.2,152
1.31322283651254,0.27248429646709,2.54380597174583,2.98315404304694,4.0111711341943,0.3,0
1.56898134792437,0.450426585805393,1.53886826933306,6.08806947560599,4.01026735390776,0.3,76
1.71501653943021,0.539422724554029,1.28497956984109,8.69724210800856,4.00985327066914,0.3,95.5
1.87603250806848,0.629159178828611,1.10170399460828,12.493027062637,4.01356403696253,0.3,152
1.1256195741536,0.118333616639832,5.85756778371485,1.60729753653896,4.0103077502129,0.4,0
1.45237647302147,0.373201161736039,1.85730177616703,4.46471537927489,4.00911256678154,0.4,76
1.64984784866759,0.500683070731882,1.38440307068247,7.44119229879148,4.00858588704747,0.4,95.5
