"simID","Us","tc"
1,0.503037458700347,0
1,0.726945906819946,76
1,0.9,95.5
1,0.9,152
2,0.498899647687304,0
2,0.722830882289288,76
2,0.9,95.5
2,0.9,152
3,0.507877284574735,0
3,0.731719953355711,76
3,0.9,95.5
3,0.9,152
4,0.615217390522868,0
4,0.837601905742197,76
4,0.9,95.5
4,0.9,152
5,0.508836156424272,0
5,0.732660770143347,76
5,0.9,95.5
5,0.9,152
6,0.593014086504026,0
6,0.819791168890524,76
6,0.9,95.5
6,0.9,152
7,0.558917512447263,0
7,0.787220129518951,76
7,0.9,95.5
7,0.9,152
8,0.500774327476563,0
8,0.724699063058144,76
8,0.9,95.5
8,0.9,152
9,0.611959241309714,0
9,0.835046518843679,76
9,0.9,95.5
9,0.9,152
10,0.497421706256279,0
10,0.721353587784186,76
10,0.9,95.5
10,0.9,152
11,0.608887728387333,0
11,0.832619199074776,76
11,0.9,95.5
11,0.9,152
12,0.57690313652172,0
12,0.802894490717751,76
12,0.9,95.5
12,0.9,152
13,0.616173117544637,0
13,0.838347692097324,76
13,0.9,95.5
13,0.9,152
14,0.576957158086485,0
14,0.802940655562949,76
14,0.9,95.5
14,0.9,152
15,0.505600831061641,0
15,0.729479718905841,76
15,0.9,95.5
15,0.9,152
16,0.614222804210989,0
16,0.836823974186294,76
16,0.9,95.5
16,0.9,152
17,0.574267514268457,0
17,0.800635194209162,76
17,0.9,95.5
17,0.9,152
18,0.506095078892503,0
18,0.729966925491237,76
18,0.9,95.5
18,0.9,152
19,0.605416545867157,0
19,0.829854608575926,76
19,0.9,95.5
19,0.9,152
20,0.507845855477198,0
20,0.731689097574756,76
20,0.9,95.5
20,0.9,152
21,0.57633435175796,0
21,0.802408001536569,76
21,0.9,95.5
21,0.9,152
22,0.611149218222278,0
22,0.834408115659801,76
22,0.9,95.5
22,0.9,152
23,0.484120513508403,0
23,0.707880890489225,76
23,0.9,95.5
23,0.9,152
24,0.569751637084364,0
24,0.796734076861798,76
24,0.9,95.5
24,0.9,152
25,0.576106143001333,0
25,0.802212641682363,76
25,0.9,95.5
25,0.9,152
26,0.505702797916727,0
26,0.729580278159823,76
26,0.9,95.5
26,0.9,152
27,0.564715571960449,0
27,0.792338827629771,76
27,0.9,95.5
27,0.9,152
28,0.611966130295835,0
28,0.835051953639838,76
28,0.9,95.5
28,0.9,152
29,0.575186389049991,0
29,0.801424335193129,76
29,0.9,95.5
29,0.9,152
30,0.593792268474702,0
30,0.820431125661892,76
30,0.9,95.5
30,0.9,152
31,0.508565739464891,0
31,0.732395606559942,76
31,0.9,95.5
31,0.9,152
32,0.616458910722291,0
32,0.83857036698722,76
32,0.9,95.5
32,0.9,152
33,0.615376246982591,0
33,0.837725991903703,76
33,0.9,95.5
33,0.9,152
34,0.55994499757836,0
34,0.788131787088526,76
34,0.9,95.5
34,0.9,152
35,0.506813945328703,0
35,0.730674680620009,76
35,0.9,95.5
35,0.9,152
36,0.498026600321966,0
36,0.721958674309237,76
36,0.9,95.5
36,0.9,152
37,0.505169634525761,0
37,0.729054304960692,76
37,0.9,95.5
37,0.9,152
38,0.579629628020327,0
38,0.805218084264308,76
38,0.9,95.5
38,0.9,152
39,0.497693642969369,0
39,0.721625689648248,76
39,0.9,95.5
39,0.9,152
40,0.48725629126775,0
40,0.711085848545418,76
40,0.9,95.5
40,0.9,152
41,0.576635984934075,0
41,0.802666066916391,76
41,0.9,95.5
41,0.9,152
42,0.616216091393559,0
42,0.838381180488927,76
42,0.9,95.5
42,0.9,152
43,0.562434117412517,0
43,0.790332175285072,76
43,0.9,95.5
43,0.9,152
44,0.610825979532156,0
44,0.834153016959128,76
44,0.9,95.5
44,0.9,152
45,0.571587982454989,0
45,0.798325003161652,76
45,0.9,95.5
45,0.9,152
46,0.507401980240783,0
46,0.731252976695678,76
46,0.9,95.5
46,0.9,152
47,0.579331733566308,0
47,0.804964881682021,76
47,0.9,95.5
47,0.9,152
48,0.57973782172273,0
48,0.805309995547259,76
48,0.9,95.5
48,0.9,152
49,0.570300081630466,0
49,0.797209873159529,76
49,0.9,95.5
49,0.9,152
50,0.499965788336007,0
50,0.723894102586753,76
50,0.9,95.5
50,0.9,152
51,0.614667502611765,0
51,0.837172027070868,76
51,0.9,95.5
51,0.9,152
52,0.609414534742174,0
52,0.833036776241929,76
52,0.9,95.5
52,0.9,152
53,0.578382941093403,0
53,0.804157329413472,76
53,0.9,95.5
53,0.9,152
54,0.572863009764004,0
54,0.799425942031506,76
54,0.9,95.5
54,0.9,152
55,0.61625535928177,0
55,0.838411785992689,76
55,0.9,95.5
55,0.9,152
56,0.57917714653194,0
56,0.804833417800645,76
56,0.9,95.5
56,0.9,152
57,0.573317215085539,0
57,0.799817409320564,76
57,0.9,95.5
57,0.9,152
58,0.575846378493169,0
58,0.801990171256602,76
58,0.9,95.5
58,0.9,152
59,0.575575773539978,0
59,0.801758271117218,76
59,0.9,95.5
59,0.9,152
60,0.615793733363734,0
60,0.838051847791254,76
60,0.9,95.5
60,0.9,152
61,0.613413958638801,0
61,0.836189936114771,76
61,0.9,95.5
61,0.9,152
62,0.486325685622692,0
62,0.710136627450501,76
62,0.9,95.5
62,0.9,152
63,0.50899047022014,0
63,0.732812053487295,76
63,0.9,95.5
63,0.9,152
64,0.614873568928441,0
64,0.837333198106083,76
64,0.9,95.5
64,0.9,152
65,0.60936425443834,0
65,0.832996950601774,76
65,0.9,95.5
65,0.9,152
66,0.613695473402315,0
66,0.836410750576863,76
66,0.9,95.5
66,0.9,152
67,0.604427649036529,0
67,0.829062854764439,76
67,0.9,95.5
67,0.9,152
68,0.476229889277015,0
68,0.699737782303646,76
68,0.896632522921427,95.5
68,0.9,152
69,0.505615919962275,0
69,0.729494619225609,76
69,0.9,95.5
69,0.9,152
70,0.608152356916085,0
70,0.832035409778165,76
70,0.9,95.5
70,0.9,152
71,0.493688932488098,0
71,0.71760489431649,76
71,0.9,95.5
71,0.9,152
72,0.486414252751481,0
72,0.710226975097061,76
72,0.9,95.5
72,0.9,152
73,0.579599872062999,0
73,0.80519279393812,76
73,0.9,95.5
73,0.9,152
74,0.577436078713268,0
74,0.803349756598881,76
74,0.9,95.5
74,0.9,152
75,0.608031353747202,0
75,0.831939266415474,76
75,0.9,95.5
75,0.9,152
76,0.500595486183575,0
76,0.724521098246041,76
76,0.9,95.5
76,0.9,152
77,0.605994269795475,0
77,0.830316308862715,76
77,0.9,95.5
77,0.9,152
