"simID","Us","tc"
1,0.516684182827242,0
1,0.76576209880731,76
1,0.9,95.5
1,0.9,152
2,0.494239621820091,0
2,0.743562151914183,76
2,0.9,95.5
2,0.9,152
3,0.504423748030835,0
3,0.753759826184176,76
3,0.9,95.5
3,0.9,152
4,0.466166103630406,0
4,0.714235770572201,76
4,0.9,95.5
4,0.9,152
5,0.461646311370243,0
5,0.70939075229913,76
5,0.9,95.5
5,0.9,152
6,0.495007997130881,0
6,0.744338765627347,76
6,0.9,95.5
6,0.9,152
7,0.339189576542734,0
7,0.562329292738538,76
7,0.807483176655328,95.5
7,0.9,152
8,0.441286820934187,0
8,0.687061340517545,76
8,0.9,95.5
8,0.9,152
9,0.34027151331349,0
9,0.563756479827471,76
9,0.808734237919496,95.5
9,0.9,152
10,0.512618901464529,0
10,0.761815648073782,76
10,0.9,95.5
10,0.9,152
